#PSR      	  P           DM       Gl       Gb       Notes
#             (ms)     (pc/cc)     (◦)      (◦)
J2045-68      2.96     21.2        326.100  -35.400  GRS:4FGL_J2045.9-6835[aab+22]
J2047+1053    4.29     34.6        57.046   -19.676  GRS:4FGL_J2047.3+1051[aab+22]
J2051-0827    4.50864  20.7299     39.192   -30.411  GRS:4FGL_J2051.0-0826[aab+22]
J2051+50      1.68     23.9        89.584   4.005    GRS:4FGL_J2051.7+5051[aab+22]
J2052+1219    1.98526  41.9596     59.145   -19.986  GRS:4FGL_J2052.7+1218[aab+22]
J2053+4650    12.5863  98.0828     86.861   1.302    *
J2055+15      2.16     40.2        62.600   -18.600  GRS:4FGL_J2055.8+1545[aab+22]
J2055+3829    2.08929  91.8295     80.615   -4.259   *
J2115+5448    2.60288  77.4059     95.043   4.109    GRS:4FGL_J2115.1+5449[aab+22]
J2124-3358    4.93111  4.5954      10.925   -45.438  GRS:4FGL_J2124.7-3358[aab+22]
J2129-0429    7.62     16.880      48.912   -36.939  GRS:4FGL_J2129.8-0428[aab+22],OPT:[bkb+16]
J2129-5721    3.72635  31.8480     338.005  -43.570  *
J2144-5237    5.04145  19.5465     343.435  -47.123  *
J2145-0750    16.0524  9.0008      47.777   -42.084  *
J2150-0326    3.5      20.67332    53.501   -40.658  *
J2205+6012    2.41555  157.6435    103.686  3.696    GRS:4FGL_J2205.8-8254c[aab+22]
J2212+2450    3.907    25.213      82.957   -25.430  *
J2214+3000    3.11923  22.544019   86.855   -21.665  GRS:4FGL_J2214.6+3000[aab+22],OPT:[sh14]
J2215+5135    2.60962  69.1951     99.868   -4.159   GRS:4FGL_J2215.6+5135[aab+22],OPT:[bvr+13]
J2229+2643    2.97782  22.7282     87.693   -26.284  *
J2234+0611    3.57658  10.7670     72.991   -43.006  *
J2234+0944    3.62703  17.8323     76.280   -40.438  GRS:4FGL_J2234.7+0943[aab+22]
J2236-5527    6.90755  20.0871     334.166  -52.719  *
J2241-5236    2.1867   11.41126    337.457  -54.927  GRS:4FGL_J2241.7-5236[aab+22],XRS:
J2256-1024    2.29453  13.776020   59.231   -58.293  GRS:4FGL_J2256.8-1024[aab+22],OPT:[bvr+13]
J2302+4442    5.19232  13.788120   103.395  -14.005  GRS:4FGL_J2302.7+4443[aab+22],XRS:XMMUJ230247+444219,OPT:[kzz+18]
J2310-0555    2.61259  15.5139     69.702   -57.907  GRS:4FGL_J2310.0-0555[aab+22]
J2317+1439    3.44525  21.8989     91.361   -42.360  GRS:4FGL_J2317.3+1433[aab+22],OPT:[dsw+17]
J2322+2057    4.80843  13.3833     96.515   -37.310  *
J2322-2650    3.4631   6.14906     28.637   -70.228  OPT:(?)[sbb+18]
J2339-0533    2.88423  8.717       81.349   -62.476  GRS:4FGL_J2339.6-0533[aab+22],OPT:[rs11]
J2355+0051    3.71899  11.1452     95.152   -58.988  *
J0416+5202g   18.25    140.5       151.6    1.0      FAST-GPPS
J0520+3722g   7.91     89.0        170.0    0.1      FAST-GPPS
J0541+2959g   3.20     67.3        178.7    -0.2     FAST-GPPS
J0622+0338g   8.77     79.4        206.3    -4.8     FAST-GPPS
J1819-0050g   6.60     103.3       28.5     6.7      FAST-GPPS
J1821+0044g   2.71     126.9       30.2     7.0      FAST-GPPS
J1828+0021g   1.47     40.4        30.6     5.3      FAST-GPPS
J1829-0235g   7.42     103.3       28.1     3.7      FAST-GPPS
J1830-0106g   1.75     149.4       29.5     4.2      FAST-GPPS
J1830-0156g   7.52     242.3       28.8     3.7      FAST-GPPS
J1833-0048g   2.95     81.4        30.2     3.6      FAST-GPPS
J1833-0204g   4.43     312.1       29.0     3.1      FAST-GPPS
J1835-0011g   3.23     36.2        31.0     3.4      FAST-GPPS
J1836+0117g   3.81     178.0       32.3     4.0      FAST-GPPS
J1836-0150g   5.45     199.4       29.5     2.6      FAST-GPPS
J1837-0048g   2.73     195.5       30.6     2.7      FAST-GPPS
J1837+0528g   6.26     120.8       36.2     5.5      FAST-GPPS
J1838+0028g   1.87     107.2       31.9     3.1      FAST-GPPS
J1838-0156g   5.51     163.4       29.7     2.1      FAST-GPPS
J1838+1507g   3.82     54.8        45.1     9.6      FAST-GPPS
J1839+0100g   5.36     130.1       32.5     3.1      FAST-GPPS
J1840-0049g   6.76     245.9       30.9     2.2      FAST-GPPS
J1841-0123g   3.79     308.2       30.5     1.7      FAST-GPPS
J1842-0138g   2.70     209.9       30.5     1.2      FAST-GPPS
J1842+0407g   3.93     101.7       35.5     3.9      FAST-GPPS
J1844+0455g   4.70     241.4       36.6     3.7      FAST-GPPS
J1845+0104g   6.71     94.9        33.2     1.7      FAST-GPPS
J1845+0201g   4.30     56.6        34.0     2.3      FAST-GPPS
J1845+0315g   1.85     77.2        35.2     2.9      FAST-GPPS
J1846+0014g   6.66     230.0       32.6     1.2      FAST-GPPS
J1847+0342g   4.28     81.1        35.8     2.6      FAST-GPPS
J1848-0044g   5.55     227.7       32.0     0.2      FAST-GPPS
J1849+0304g   1.79     146.7       35.4     1.8      FAST-GPPS
J1849+0329g   4.50     152.1       35.8     2.1      FAST-GPPS
J1849+0623g   14.58    129.4       38.4     3.3      FAST-GPPS
J1853-0049g   16.78    405.9       32.4     -0.7     FAST-GPPS
J1855-0221g   2.76     223.4       31.4     -2.1     FAST-GPPS
J1856+1000g   4.87     202.1       42.4     3.4      FAST-GPPS
J1857-0125g   1.83     214.0       32.3     -2.0     FAST-GPPS
J1857+0642g   3.53     21.6        39.6     1.6      FAST-GPPS
J1858-0128g   7.87     38.1        32.4     -2.2     FAST-GPPS
J1858+0724g   7.69     105.0       40.3     1.8      FAST-GPPS
J1859-0224g   6.17     89.4        31.7     -2.9     FAST-GPPS
J1900-0126g   4.00     145.5       32.6     -2.6     FAST-GPPS
J1900+0947g   2.40     242.6       42.7     2.4      FAST-GPPS
